# Wavelength (nm), lambda Transmission
454.05007363770244, 0
463.7702503681885, 0
472.6067746686303, 0
507.06921944035344, 0
536.2297496318115, 0
552.1354933726068, 0
572.459499263623, 0
576.8842588581824, 0.003676470588235059
579.5417135926535, 0.008088235294117618
581.322013341419, 0.016911764705882293
581.3350082300962, 0.025735294117646967
583.1250541453694, 0.04117647058823515
583.1445464783851, 0.05441176470588238
584.0541886857836, 0.07205882352941173
584.0834271853071, 0.09191176470588247
584.9995668370441, 0.11397058823529405
585.0353027809061, 0.138235294117647
585.9644373213202, 0.16911764705882348
586.0164168760288, 0.2044117647058824
586.1171272632764, 0.27279411764705874
586.9390539721043, 0.23088235294117643
587.0495105258598, 0.3058823529411765
588.0078835657974, 0.3566176470588235
588.98899766092, 0.4227941176470589
590.8115307978861, 0.46029411764705885
592.6438101013601, 0.5044117647058823
592.6957896560687, 0.5397058823529411
594.5410638482197, 0.5926470588235294
594.6515204019752, 0.6676470588235295
595.6261370527592, 0.7294117647058824
597.4681625227411, 0.7801470588235294
598.4330330070172, 0.8352941176470589
600.2815559213376, 0.8904411764705883
602.9552542666552, 0.9058823529411765
605.6094602789569, 0.9080882352941178
609.147318721303, 0.9102941176470589
610.9211210257299, 0.9147058823529413
613.5720783158624, 0.9147058823529413
616.2262843281642, 0.9169117647058824
618.8772416182968, 0.9169117647058824
621.5346963527679, 0.9213235294117648
625.072554795114, 0.9235294117647059
628.6071645152906, 0.9235294117647059
631.2646192497617, 0.9279411764705883
633.9155765398943, 0.9279411764705883
636.5665338300269, 0.9279411764705883
639.223988564498, 0.9323529411764706
642.7585982846747, 0.9323529411764706
646.2964567270208, 0.9345588235294118
650.7179675994109, 0.9367647058823529
656.0231309018452, 0.9389705882352941
660.4478904964046, 0.9433823529411766
664.8661526466256, 0.9433823529411766
669.2844147968465, 0.9433823529411766
672.8222732391926, 0.9455882352941176
677.247032833752, 0.9500000000000001
682.5521961361865, 0.9522058823529412
687.8573594386207, 0.9544117647058824
691.3919691587976, 0.9544117647058824
696.6938837390626, 0.9544117647058824
703.7663519015855, 0.9566176470588236
710.8355713419388, 0.9566176470588236
716.1407346443732, 0.9588235294117647
721.4394005024691, 0.9566176470588236
724.9740102226458, 0.9566176470588236
728.515117387161, 0.9610294117647059
731.1693233994629, 0.9632352941176471
733.8235294117646, 0.9654411764705882
737.36463657628, 0.9698529411764706
740.902495018626, 0.9720588235294119
745.3272546131855, 0.9764705882352942
749.7455167634064, 0.9764705882352942
753.2833752057525, 0.9786764705882354
759.472190938231, 0.9808823529411765
764.7773542406653, 0.9830882352941177
770.0890149874383, 0.9897058823529412
776.2778307199169, 0.9919117647058824
781.5797453001819, 0.9919117647058824
786.0012561725721, 0.9941176470588236
789.5326171705796, 0.9919117647058824
793.9508793208005, 0.9919117647058824
799.2495451788964, 0.9897058823529412
804.5514597591614, 0.9897058823529412
811.6271766438535, 0.9941176470588236
820.4669496664646, 0.9963235294117647
828.4198215368622, 0.9963235294117647
832.8348349649139, 0.9941176470588236
839.9040544052673, 0.9941176470588236
846.0961188599151, 0.9985294117647059
853.1685870224378, 1.000735294117647
859.3574027549164, 1.0029411764705882
862.8887637529238, 1.000735294117647
869.0678333188946, 0.9963235294117647
873.4828467469463, 0.9941176470588236
877.0142077449536, 0.9919117647058824
881.4292211730053, 0.9897058823529412
884.9573334488434, 0.9852941176470589
888.4854457246818, 0.9808823529411765
890.2462531404315, 0.9764705882352942
893.7711166941003, 0.9698529411764706
898.1796326778133, 0.9632352941176471
902.5848999393572, 0.9544117647058824
906.1065147708568, 0.9455882352941176
908.7412284501431, 0.9345588235294118
912.2628432816425, 0.9257352941176471
916.6648618210172, 0.9147058823529413
920.1832279303474, 0.9036764705882353
923.6983453175085, 0.8904411764705883
926.3363077189638, 0.8816176470588235
928.0906176903752, 0.8727941176470588
931.6024863553669, 0.8573529411764707
935.1111062981895, 0.8397058823529412
938.6294724075199, 0.8286764705882353
942.1413410725115, 0.8132352941176471
946.5336134453783, 0.7955882352941177
948.281425972451, 0.7823529411764706
951.7867971931041, 0.7625
956.1758208438016, 0.7426470588235294
959.684440786624, 0.725
962.3094082994023, 0.7073529411764706
966.6951832279303, 0.6852941176470588
969.3169020185394, 0.6654411764705882
971.9418695313177, 0.6477941176470589
975.4504894741401, 0.6301470588235294
977.2015507233821, 0.6191176470588236
978.9526119726243, 0.6080882352941177
980.6971757775275, 0.5926470588235294
984.1960495538422, 0.5683823529411764
985.9373646365764, 0.5507352941176471
988.5655808715239, 0.5352941176470588
990.3068959542579, 0.5176470588235293
993.8057697305728, 0.4933823529411764
996.4242397990124, 0.4713235294117647
998.1688036039159, 0.4558823529411764
1000.7872736723555, 0.4338235294117647
1003.4089924629645, 0.4139705882352941
1006.0339599757428, 0.39632352941176463
1007.7622801697999, 0.3698529411764706
1007.7752750584771, 0.37867647058823517
1009.516590141211, 0.36102941176470593
1011.2709001126225, 0.35220588235294115
1013.0122151953567, 0.3345588235294117
1014.7665251667677, 0.325735294117647
1016.5143376938404, 0.3125
1018.2459066100666, 0.28823529411764703
1018.2653989430823, 0.30147058823529405
1019.1198128736032, 0.28161764705882353
1020.8806202893529, 0.2772058823529411
1022.6251840942564, 0.261764705882353
1022.6349302607641, 0.2683823529411765
1024.3827427878368, 0.2551470588235294
1026.1305553149095, 0.24191176470588238
1029.6359265355627, 0.22205882352941164
1031.3772416182967, 0.2044117647058824
1033.1315515897081, 0.19558823529411762
1035.7727627133327, 0.1889705882352941
1036.6369228103613, 0.175735294117647
1038.3912327817725, 0.16691176470588243
1040.1422940310144, 0.15588235294117647
1043.663908862514, 0.1470588235294117
1045.4214675560945, 0.14044117647058818
1047.1822749718444, 0.13602941176470595
1048.9365849432556, 0.12720588235294106
1050.690894914667, 0.1183823529411765
1053.3321060382916, 0.11176470588235299
1055.9668197175777, 0.10073529411764692
1059.4819371047388, 0.08749999999999991
1063.8872043662827, 0.07867647058823524
1068.2957203499957, 0.07205882352941173
1071.8173351814953, 0.06323529411764706
1077.1062548730833, 0.05441176470588238
1084.1624794247598, 0.045588235294117485
1090.3415489907304, 0.04117647058823515
1095.6304686823182, 0.03235294117647047
1101.8062895261198, 0.025735294117646967
1109.7461665078404, 0.016911764705882293
1115.9219873516417, 0.010294117647058787
1122.9782119033182, 0.0014705882352941124
1129.1572814692888, 0
