#BJD_???,RV,RV_err
2.450829993000000E+06,-1.292000000000000E-02,2.190000000000000E-03
2.451119250400000E+06,-4.255000000000000E-02,4.600000000000000E-03
2.451236032900000E+06,-5.135000000000000E-02,2.710000000000000E-03
2.451411324900000E+06,-5.494000000000000E-02,2.830000000000000E-03
2.451473267000000E+06,-5.234000000000000E-02,2.170000000000000E-03
2.451526080400000E+06,-6.413000000000000E-02,2.180000000000000E-03
2.451527082100000E+06,-6.061000000000000E-02,2.020000000000000E-03
2.451530128000000E+06,-5.895000000000000E-02,2.220000000000000E-03
2.451629911600000E+06,-6.345000000000000E-02,2.520000000000000E-03
2.451683842200000E+06,-6.961000000000000E-02,2.300000000000000E-03
2.451828187500000E+06,-3.746000000000000E-02,2.110000000000000E-03
2.451919098900000E+06,-1.037000000000000E-02,3.320000000000000E-03
2.451921138300000E+06,-1.360000000000000E-02,2.250000000000000E-03
2.451983919100000E+06,2.081000000000000E-02,2.410000000000000E-03
2.452060839600000E+06,1.656700000000000E-01,2.140000000000000E-03
2.452092336600000E+06,2.396700000000000E-01,2.170000000000000E-03
2.452093351500000E+06,2.401200000000000E-01,2.050000000000000E-03
2.452127327800000E+06,3.144100000000000E-01,2.690000000000000E-03
2.452128335700000E+06,3.147100000000000E-01,1.980000000000000E-03
2.452130338300000E+06,3.168600000000000E-01,3.140000000000000E-03
2.452151291700000E+06,3.360800000000000E-01,2.200000000000000E-03
2.452154304300000E+06,3.253500000000000E-01,5.000000000000000E-03
2.452187195900000E+06,3.113700000000000E-01,1.910000000000000E-03
2.452188235900000E+06,3.114500000000000E-01,1.970000000000000E-03
2.452189221900000E+06,3.077800000000000E-01,1.720000000000000E-03
2.452190144800000E+06,3.092900000000000E-01,1.870000000000000E-03
2.452387870600000E+06,1.271600000000000E-01,1.620000000000000E-03
2.452510306600000E+06,6.962000000000000E-02,2.110000000000000E-03
2.452592125600000E+06,4.620000000000000E-02,1.610000000000000E-03
2.452599154600000E+06,4.655000000000000E-02,5.800000000000000E-03
2.452654098600000E+06,4.430000000000000E-02,2.260000000000000E-03
2.452708984300000E+06,3.204000000000000E-02,1.137000000000000E-02
2.452751917700000E+06,1.617000000000000E-02,2.060000000000000E-03
2.452944224000000E+06,-1.499000000000000E-02,1.960000000000000E-03
2.453004074700000E+06,-6.330000000000000E-03,1.930000000000000E-03
2.453042078000000E+06,-1.145000000000000E-02,2.060000000000000E-03
2.453043017300000E+06,-1.550000000000000E-02,2.230000000000000E-03
2.453047049400000E+06,-1.096000000000000E-02,2.160000000000000E-03
2.453048097800000E+06,-2.070000000000000E-02,1.730000000000000E-03
2.453245310900000E+06,-4.242000000000000E-02,2.500000000000000E-03
2.453402034600000E+06,-3.540000000000000E-02,9.200000000000000E-04
2.453669243300000E+06,-5.787000000000000E-02,9.700000000000000E-04
2.454012248900000E+06,-4.680000000000000E-03,9.500000000000000E-04
2.454039169000000E+06,3.510000000000000E-03,1.120000000000000E-03
2.454224853200000E+06,3.268000000000000E-01,1.040000000000000E-03
2.454336314600000E+06,2.336800000000000E-01,1.830000000000000E-03
2.454337291500000E+06,2.380000000000000E-01,1.570000000000000E-03
2.454372270100000E+06,1.952100000000000E-01,1.830000000000000E-03
2.454425224100000E+06,1.577100000000000E-01,1.360000000000000E-03
2.454545942500000E+06,9.094000000000000E-02,1.040000000000000E-03
2.454841064100000E+06,2.104000000000000E-02,1.470000000000000E-03
2.454901940600000E+06,7.100000000000000E-03,2.040000000000000E-03
2.454905991600000E+06,4.500000000000000E-03,1.600000000000000E-03
2.454906974100000E+06,5.290000000000000E-03,1.280000000000000E-03
2.455106239400000E+06,-1.748000000000000E-02,1.970000000000000E-03
2.455170237200000E+06,-2.015000000000000E-02,1.340000000000000E-03
2.455202054400000E+06,-1.497000000000000E-02,1.920000000000000E-03
2.455252969300000E+06,-3.226000000000000E-02,1.320000000000000E-03
2.455521200500000E+06,-4.540000000000000E-02,1.590000000000000E-03
2.455585996000000E+06,-3.564000000000000E-02,1.700000000000000E-03
2.455664857600000E+06,-4.455000000000000E-02,1.480000000000000E-03
2.455846251200000E+06,-4.801000000000000E-02,1.520000000000000E-03
2.455898109400000E+06,-4.673000000000000E-02,1.280000000000000E-03
2.455899137100000E+06,-4.953000000000000E-02,1.480000000000000E-03
2.455962003800000E+06,-3.537000000000000E-02,1.270000000000000E-03
2.455965038900000E+06,-3.758000000000000E-02,1.370000000000000E-03
2.455966979400000E+06,-3.659000000000000E-02,2.250000000000000E-03
2.456382906800000E+06,2.964100000000000E-01,1.460000000000000E-03
2.456558262800000E+06,1.452400000000000E-01,1.320000000000000E-03
2.456708961400000E+06,7.376000000000000E-02,1.910000000000000E-03
2.456769866900000E+06,5.966000000000000E-02,2.150000000000000E-03
2.456770885900000E+06,7.212000000000000E-02,2.010000000000000E-03
2.456938241200000E+06,2.823000000000000E-02,2.690000000000000E-03
2.456969168600000E+06,1.900000000000000E-02,1.690000000000000E-03
2.457054973400000E+06,1.672000000000000E-02,1.950000000000000E-03
2.457094964500000E+06,7.570000000000000E-03,1.620000000000000E-03
2.457349217700000E+06,-2.386000000000000E-02,1.940000000000000E-03